Citizenship,Year,Region,Month,Value0
Iceland,2013,Capital region,June,15941
Iceland,2013,Capital region,July,15565
Iceland,2013,Capital region,August,17594
Iceland,2013,Capital region,September,20781
Iceland,2013,Capital region,October,19546
Iceland,2013,Capital region,November,19582
Iceland,2013,Capital region,December,13230
Iceland,2013,"West, Westfjords and Southwest from 2007",Total,..
Iceland,2013,"West, Westfjords and Southwest from 2007",January,..
Iceland,2013,"West, Westfjords and Southwest from 2007",February,..
Iceland,2013,"West, Westfjords and Southwest from 2007",March,..
Iceland,2013,"West, Westfjords and Southwest from 2007",April,..
Iceland,2013,"West, Westfjords and Southwest from 2007",May,..
Iceland,2013,"West, Westfjords and Southwest from 2007",June,..
Iceland,2013,"West, Westfjords and Southwest from 2007",July,..
Iceland,2013,"West, Westfjords and Southwest from 2007",August,..
Iceland,2013,"West, Westfjords and Southwest from 2007",September,..
Iceland,2013,"West, Westfjords and Southwest from 2007",October,..
Iceland,2013,"West, Westfjords and Southwest from 2007",November,..
Iceland,2013,"West, Westfjords and Southwest from 2007",December,..
Iceland,2013,Southwest,Total,27784
Iceland,2013,Southwest,January,1351
Iceland,2013,Southwest,February,1726
Iceland,2013,Southwest,March,2632
Iceland,2013,Southwest,April,1671
Iceland,2013,Southwest,May,2709
Iceland,2013,Southwest,June,2786
Iceland,2013,Southwest,July,2331
Iceland,2013,Southwest,August,2970
Iceland,2013,Southwest,September,2914
Iceland,2013,Southwest,October,2971
Iceland,2013,Southwest,November,2019
Iceland,2013,Southwest,December,1704
Iceland,2013,"West, Westfjords from 2007",Total,60970
Iceland,2013,"West, Westfjords from 2007",January,1380
Iceland,2013,"West, Westfjords from 2007",February,1848
Iceland,2013,"West, Westfjords from 2007",March,2786
Iceland,2013,"West, Westfjords from 2007",April,2790
Iceland,2013,"West, Westfjords from 2007",May,5905
Iceland,2013,"West, Westfjords from 2007",June,9726
Iceland,2013,"West, Westfjords from 2007",July,13973
Iceland,2013,"West, Westfjords from 2007",August,9806
Iceland,2013,"West, Westfjords from 2007",September,5194
Iceland,2013,"West, Westfjords from 2007",October,3593
Iceland,2013,"West, Westfjords from 2007",November,2522
Iceland,2013,"West, Westfjords from 2007",December,1447
Iceland,2013,North,Total,92771
Iceland,2013,North,January,3189
Iceland,2013,North,February,5406
Iceland,2013,North,March,8195
Iceland,2013,North,April,6121
Iceland,2013,North,May,8395
Iceland,2013,North,June,11894
Iceland,2013,North,July,14545
Iceland,2013,North,August,9781
Iceland,2013,North,September,8138
Iceland,2013,North,October,10395
Iceland,2013,North,November,4345
Iceland,2013,North,December,2367
Iceland,2013,East,Total,35048
Iceland,2013,East,January,688
Iceland,2013,East,February,868
Iceland,2013,East,March,2093
Iceland,2013,East,April,1591
Iceland,2013,East,May,3305
Iceland,2013,East,June,5377
Iceland,2013,East,July,7396
Iceland,2013,East,August,5676
Iceland,2013,East,September,3072
Iceland,2013,East,October,2141
Iceland,2013,East,November,1820
Iceland,2013,East,December,1021
Iceland,2013,South,Total,73654
Iceland,2013,South,January,1647
Iceland,2013,South,February,4934
Iceland,2013,South,March,5158
Iceland,2013,South,April,5185
Iceland,2013,South,May,7401
Iceland,2013,South,June,9744
Iceland,2013,South,July,9224
Iceland,2013,South,August,8512
Iceland,2013,South,September,7570
Iceland,2013,South,October,6415
Iceland,2013,South,November,4754
Iceland,2013,South,December,3110
Denmark,2014,Total,Total,109646
Denmark,2014,Total,January,3288
Denmark,2014,Total,February,3643
Denmark,2014,Total,March,4292
Denmark,2014,Total,April,6902
Denmark,2014,Total,May,10928
Denmark,2014,Total,June,14110
Denmark,2014,Total,July,23919
Denmark,2014,Total,August,14918
Denmark,2014,Total,September,11165
Denmark,2014,Total,October,7889
Denmark,2014,Total,November,5387
Denmark,2014,Total,December,3205
Denmark,2014,Capital region,Total,63431
Denmark,2014,Capital region,January,2869
Denmark,2014,Capital region,February,2853
Denmark,2014,Capital region,March,3371
Denmark,2014,Capital region,April,5397
Denmark,2014,Capital region,May,8193
Denmark,2014,Capital region,June,6416
Denmark,2014,Capital region,July,7370
Denmark,2014,Capital region,August,5878
Denmark,2014,Capital region,September,7847
Denmark,2014,Capital region,October,6181
Denmark,2014,Capital region,November,4544
Denmark,2014,Capital region,December,2512
Denmark,2014,"West, Westfjords and Southwest from 2007",Total,..
Denmark,2014,"West, Westfjords and Southwest from 2007",January,..
Denmark,2014,"West, Westfjords and Southwest from 2007",February,..
Denmark,2014,"West, Westfjords and Southwest from 2007",March,..
Denmark,2014,"West, Westfjords and Southwest from 2007",April,..
Denmark,2014,"West, Westfjords and Southwest from 2007",May,..
Denmark,2014,"West, Westfjords and Southwest from 2007",June,..
Denmark,2014,"West, Westfjords and Southwest from 2007",July,..
Denmark,2014,"West, Westfjords and Southwest from 2007",August,..
Denmark,2014,"West, Westfjords and Southwest from 2007",September,..
Denmark,2014,"West, Westfjords and Southwest from 2007",October,..
Denmark,2014,"West, Westfjords and Southwest from 2007",November,..
Denmark,2014,"West, Westfjords and Southwest from 2007",December,..
Denmark,2014,Southwest,Total,5486
Denmark,2014,Southwest,January,142
Denmark,2014,Southwest,February,269
Denmark,2014,Southwest,March,212
Denmark,2014,Southwest,April,244
Denmark,2014,Southwest,May,339
Denmark,2014,Southwest,June,611
Denmark,2014,Southwest,July,1389
Denmark,2014,Southwest,August,962
Denmark,2014,Southwest,September,449
Denmark,2014,Southwest,October,364
Denmark,2014,Southwest,November,274
Denmark,2014,Southwest,December,231
Denmark,2014,"West, Westfjords from 2007",Total,6991
Denmark,2014,"West, Westfjords from 2007",January,27
Denmark,2014,"West, Westfjords from 2007",February,85
Denmark,2014,"West, Westfjords from 2007",March,59
Denmark,2014,"West, Westfjords from 2007",April,139
Denmark,2014,"West, Westfjords from 2007",May,572
Denmark,2014,"West, Westfjords from 2007",June,1326
Denmark,2014,"West, Westfjords from 2007",July,2261
Denmark,2014,"West, Westfjords from 2007",August,1576
Denmark,2014,"West, Westfjords from 2007",September,546
Denmark,2014,"West, Westfjords from 2007",October,276
Denmark,2014,"West, Westfjords from 2007",November,88
Denmark,2014,"West, Westfjords from 2007",December,36
Denmark,2014,North,Total,12534
Denmark,2014,North,January,67
Denmark,2014,North,February,175
Denmark,2014,North,March,228
Denmark,2014,North,April,481
Denmark,2014,North,May,526
Denmark,2014,North,June,2009
Denmark,2014,North,July,5000
Denmark,2014,North,August,2333
Denmark,2014,North,September,924
Denmark,2014,North,October,355
Denmark,2014,North,November,190
Denmark,2014,North,December,246
Denmark,2014,East,Total,7334
Denmark,2014,East,January,55
Denmark,2014,East,February,41
Denmark,2014,East,March,79
Denmark,2014,East,April,81
Denmark,2014,East,May,426
Denmark,2014,East,June,1369
Denmark,2014,East,July,3153
Denmark,2014,East,August,1514
Denmark,2014,East,September,448
Denmark,2014,East,October,119
Denmark,2014,East,November,36
Denmark,2014,East,December,13
Denmark,2014,South,Total,13870
Denmark,2014,South,January,128
Denmark,2014,South,February,220
Denmark,2014,South,March,343
Denmark,2014,South,April,560
Denmark,2014,South,May,872
Denmark,2014,South,June,2379
Denmark,2014,South,July,4746
Denmark,2014,South,August,2655
Denmark,2014,South,September,951
Denmark,2014,South,October,594
Denmark,2014,South,November,255
Denmark,2014,South,December,167
Denmark,2013,Total,Total,91299
Denmark,2013,Total,January,2797
Denmark,2013,Total,February,3250
