Þjóðerni,Ár,Landsvæði,Mánuður,Value0
Útlendingar,2014,Allt landið,Apríl,124483
Útlendingar,2014,Allt landið,Maí,144118
Útlendingar,2014,Allt landið,Júní,214053
Útlendingar,2014,Allt landið,Júlí,273702
Útlendingar,2014,Allt landið,Ágúst,260779
Útlendingar,2014,Allt landið,September,165310
Útlendingar,2014,Allt landið,Október,149479
Útlendingar,2014,Allt landið,Nóvember,131733
Útlendingar,2014,Allt landið,Desember,111944
Útlendingar,2014,Höfuðborgarsvæði,Allir,1369239
Útlendingar,2014,Höfuðborgarsvæði,Janúar,84132
Útlendingar,2014,Höfuðborgarsvæði,Febrúar,107717
Útlendingar,2014,Höfuðborgarsvæði,Mars,125619
Útlendingar,2014,Höfuðborgarsvæði,Apríl,98311
Útlendingar,2014,Höfuðborgarsvæði,Maí,102251
Útlendingar,2014,Höfuðborgarsvæði,Júní,128142
Útlendingar,2014,Höfuðborgarsvæði,Júlí,151247
Útlendingar,2014,Höfuðborgarsvæði,Ágúst,144892
Útlendingar,2014,Höfuðborgarsvæði,September,108918
Útlendingar,2014,Höfuðborgarsvæði,Október,112728
Útlendingar,2014,Höfuðborgarsvæði,Nóvember,110322
Útlendingar,2014,Höfuðborgarsvæði,Desember,94960
Útlendingar,2014,Suðurnes,Allir,90365
Útlendingar,2014,Suðurnes,Janúar,3953
Útlendingar,2014,Suðurnes,Febrúar,6321
Útlendingar,2014,Suðurnes,Mars,5294
Útlendingar,2014,Suðurnes,Apríl,4886
Útlendingar,2014,Suðurnes,Maí,6776
Útlendingar,2014,Suðurnes,Júní,10897
Útlendingar,2014,Suðurnes,Júlí,13182
Útlendingar,2014,Suðurnes,Ágúst,13662
Útlendingar,2014,Suðurnes,September,7607
Útlendingar,2014,Suðurnes,Október,6615
Útlendingar,2014,Suðurnes,Nóvember,6231
Útlendingar,2014,Suðurnes,Desember,4941
Útlendingar,2014,"Vesturland, Vestfirðir",Allir,73574
Útlendingar,2014,"Vesturland, Vestfirðir",Janúar,2024
Útlendingar,2014,"Vesturland, Vestfirðir",Febrúar,3631
Útlendingar,2014,"Vesturland, Vestfirðir",Mars,4813
Útlendingar,2014,"Vesturland, Vestfirðir",Apríl,2262
Útlendingar,2014,"Vesturland, Vestfirðir",Maí,4705
Útlendingar,2014,"Vesturland, Vestfirðir",Júní,10763
Útlendingar,2014,"Vesturland, Vestfirðir",Júlí,16772
Útlendingar,2014,"Vesturland, Vestfirðir",Ágúst,13817
Útlendingar,2014,"Vesturland, Vestfirðir",September,7617
Útlendingar,2014,"Vesturland, Vestfirðir",Október,3131
Útlendingar,2014,"Vesturland, Vestfirðir",Nóvember,2357
Útlendingar,2014,"Vesturland, Vestfirðir",Desember,1682
Útlendingar,2014,Norðurland,Allir,119594
Útlendingar,2014,Norðurland,Janúar,1841
Útlendingar,2014,Norðurland,Febrúar,3076
Útlendingar,2014,Norðurland,Mars,3968
Útlendingar,2014,Norðurland,Apríl,4762
Útlendingar,2014,Norðurland,Maí,8876
Útlendingar,2014,Norðurland,Júní,20430
Útlendingar,2014,Norðurland,Júlí,28810
Útlendingar,2014,Norðurland,Ágúst,26533
Útlendingar,2014,Norðurland,September,12292
Útlendingar,2014,Norðurland,Október,4921
Útlendingar,2014,Norðurland,Nóvember,2220
Útlendingar,2014,Norðurland,Desember,1865
Útlendingar,2014,Austurland,Allir,66679
Útlendingar,2014,Austurland,Janúar,1289
Útlendingar,2014,Austurland,Febrúar,2121
Útlendingar,2014,Austurland,Mars,2612
Útlendingar,2014,Austurland,Apríl,1747
Útlendingar,2014,Austurland,Maí,4097
Útlendingar,2014,Austurland,Júní,11234
Útlendingar,2014,Austurland,Júlí,17727
Útlendingar,2014,Austurland,Ágúst,16409
Útlendingar,2014,Austurland,September,5973
Útlendingar,2014,Austurland,Október,2557
Útlendingar,2014,Austurland,Nóvember,729
Útlendingar,2014,Austurland,Desember,184
Útlendingar,2014,Suðurland,Allir,248695
Útlendingar,2014,Suðurland,Janúar,6360
Útlendingar,2014,Suðurland,Febrúar,12667
Útlendingar,2014,Suðurland,Mars,15107
Útlendingar,2014,Suðurland,Apríl,12515
Útlendingar,2014,Suðurland,Maí,17413
Útlendingar,2014,Suðurland,Júní,32587
Útlendingar,2014,Suðurland,Júlí,45964
Útlendingar,2014,Suðurland,Ágúst,45466
Útlendingar,2014,Suðurland,September,22903
Útlendingar,2014,Suðurland,Október,19527
Útlendingar,2014,Suðurland,Nóvember,9874
Útlendingar,2014,Suðurland,Desember,8312
Danmörk,2015,Allt landið,Allir,48048
Danmörk,2015,Allt landið,Janúar,3678
Danmörk,2015,Allt landið,Febrúar,4026
Danmörk,2015,Allt landið,Mars,6881
Danmörk,2015,Allt landið,Apríl,6133
Danmörk,2015,Allt landið,Maí,6585
Danmörk,2015,Allt landið,Júní,8902
Danmörk,2015,Allt landið,Júlí,11843
Danmörk,2015,Höfuðborgarsvæði,Allir,33982
Danmörk,2015,Höfuðborgarsvæði,Janúar,3245
Danmörk,2015,Höfuðborgarsvæði,Febrúar,3227
Danmörk,2015,Höfuðborgarsvæði,Mars,5240
Danmörk,2015,Höfuðborgarsvæði,Apríl,5333
Danmörk,2015,Höfuðborgarsvæði,Maí,5137
Danmörk,2015,Höfuðborgarsvæði,Júní,5746
Danmörk,2015,Höfuðborgarsvæði,Júlí,6054
Danmörk,2015,Suðurnes,Allir,3196
Danmörk,2015,Suðurnes,Janúar,147
Danmörk,2015,Suðurnes,Febrúar,285
Danmörk,2015,Suðurnes,Mars,739
Danmörk,2015,Suðurnes,Apríl,191
Danmörk,2015,Suðurnes,Maí,272
Danmörk,2015,Suðurnes,Júní,785
Danmörk,2015,Suðurnes,Júlí,777
Danmörk,2015,"Vesturland, Vestfirðir",Allir,1864
Danmörk,2015,"Vesturland, Vestfirðir",Janúar,69
Danmörk,2015,"Vesturland, Vestfirðir",Febrúar,42
Danmörk,2015,"Vesturland, Vestfirðir",Mars,180
Danmörk,2015,"Vesturland, Vestfirðir",Apríl,96
Danmörk,2015,"Vesturland, Vestfirðir",Maí,179
Danmörk,2015,"Vesturland, Vestfirðir",Júní,381
Danmörk,2015,"Vesturland, Vestfirðir",Júlí,917
Danmörk,2015,Norðurland,Allir,2630
Danmörk,2015,Norðurland,Janúar,76
Danmörk,2015,Norðurland,Febrúar,140
Danmörk,2015,Norðurland,Mars,206
Danmörk,2015,Norðurland,Apríl,154
Danmörk,2015,Norðurland,Maí,138
Danmörk,2015,Norðurland,Júní,748
Danmörk,2015,Norðurland,Júlí,1168
Danmörk,2015,Austurland,Allir,1120
Danmörk,2015,Austurland,Janúar,4
Danmörk,2015,Austurland,Febrúar,26
Danmörk,2015,Austurland,Mars,72
Danmörk,2015,Austurland,Apríl,47
Danmörk,2015,Austurland,Maí,75
Danmörk,2015,Austurland,Júní,191
Danmörk,2015,Austurland,Júlí,705
Danmörk,2015,Suðurland,Allir,5256
Danmörk,2015,Suðurland,Janúar,137
Danmörk,2015,Suðurland,Febrúar,306
Danmörk,2015,Suðurland,Mars,444
Danmörk,2015,Suðurland,Apríl,312
Danmörk,2015,Suðurland,Maí,784
Danmörk,2015,Suðurland,Júní,1051
Danmörk,2015,Suðurland,Júlí,2222
Danmörk,2014,Allt landið,Allir,76984
Danmörk,2014,Allt landið,Janúar,2962
Danmörk,2014,Allt landið,Febrúar,3227
Danmörk,2014,Allt landið,Mars,3868
Danmörk,2014,Allt landið,Apríl,6055
Danmörk,2014,Allt landið,Maí,9229
Danmörk,2014,Allt landið,Júní,8333
Danmörk,2014,Allt landið,Júlí,11804
Danmörk,2014,Allt landið,Ágúst,8324
Danmörk,2014,Allt landið,September,8974
Danmörk,2014,Allt landið,Október,6811
Danmörk,2014,Allt landið,Nóvember,4725
Danmörk,2014,Allt landið,Desember,2672
Danmörk,2014,Höfuðborgarsvæði,Allir,57594
Danmörk,2014,Höfuðborgarsvæði,Janúar,2717
Danmörk,2014,Höfuðborgarsvæði,Febrúar,2692
